Title, Career, Grading, Class Number, Type, Credits, GE, Status, Available Seats, Enrollment Cap, Enrolled, WaitCap, WaitList
['\n        BIOE 131L - 02\xa0\xa0 Animal Physiology Laboratory    ', 'Undergraduate', 'Student Option', '41035', 'Laboratory', '2 units', '\xa0', ' Open', '4', '28', '24', '0', '0']
['\n        BIOE 131L - 03\xa0\xa0 Animal Physiology Laboratory    ', 'Undergraduate', 'Student Option', '41036', 'Laboratory', '2 units', '\xa0', ' Open', '1', '28', '27', '0', '0']
['\n        BIOE 141L - 01\xa0\xa0 Behavioral Ecology Field Course    ', 'Undergraduate', 'Student Option', '43482', 'Field Studies', '5 units', '\xa0', ' Closed', '0', '0', '27', '0', '0']
['\n        BIOE 148B - 01\xa0\xa0 Quantitative Methods in Ecology and Evolution    ', 'Undergraduate', 'Student Option', '43248', 'Lecture', '5 units', 'MF', ' Closed', '5', '20', '15', '0', '0']
['\n        BIOE 163 - 01\xa0\xa0 Ecology of Reefs, Mangroves, and Seagrasses    ', 'Undergraduate', 'Student Option', '41047', 'Lecture', '5 units', '\xa0', ' Closed', '0', '30', '30', '0', '0']
['\n        BIOE 163L - 01\xa0\xa0 Ecology of Reefs, Mangroves, and Seagrasses Laboratory    ', 'Undergraduate', 'Student Option', '43035', 'Laboratory', '2 units', '\xa0', ' Closed', '0', '30', '30', '0', '0']
['\n        BIOE 183W - 01\xa0\xa0 Undergraduate Research in EEB--Writing    ', 'Undergraduate', 'Student Option', '43031', 'Seminar', '2 units', '\xa0', ' Closed', '0', '20', '22', '0', '0']
['\n        BIOE 208 - 01\xa0\xa0 Marine Ecology    ', 'Graduate', 'Student Option', '41062', 'Lecture', '5 units', '\xa0', ' Closed', '0', '80', '82', '0', '0']
['\n        BIOE 248B - 01\xa0\xa0 Quantitative Methods in Ecology and Evolution    ', 'Graduate', 'Student Option', '43254', 'Lecture', '5 units', '\xa0', ' Open', '5', '20', '15', '0', '0']
['\n        BIOE 279 - 01\xa0\xa0 Evolutionary Ecology    ', 'Graduate', 'Student Option', '41063', 'Seminar', '5 units', '\xa0', ' Open', '3', '20', '17', '0', '0']
['\n        BIOE 281A - 01\xa0\xa0 Topics in Basic and Applied Marine Ecology    ', 'Graduate', 'Student Option', '41075', 'Seminar', '5 units', '\xa0', ' Open', '10', '15', '5', '0', '0']
['\n        BIOE 281B - 01\xa0\xa0 Topics in Molecular Evolution    ', 'Graduate', 'Student Option', '41076', 'Seminar', '2 units', '\xa0', ' Open', '10', '15', '5', '0', '0']
['\n        BIOE 281C - 01\xa0\xa0 Topics in Physiological Ecology    ', 'Graduate', 'Student Option', '41077', 'Seminar', '5 units', '\xa0', ' Open', '8', '15', '7', '0', '0']
['\n        BIOE 281D - 01\xa0\xa0 Topics in Global Change Ecology    ', 'Graduate', 'Student Option', '43237', 'Seminar', '5 units', '\xa0', ' Open', '14', '15', '1', '0', '0']
